model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP_Morph,48,3,True,0.5,414.22,True,erosion,0.4226,0.5337,0.5624,0.2757,0.6905,1.0,0.739,0.999,0.5538,0.7863,59954793
Inf-Net_DP_Morph,48,1,True,0.5,414.22,True,open,0.4433,0.5543,0.5962,0.2291,0.6457,1.0,0.7974,0.9861,0.5983,0.8148,59954779
Inf-Net_DP_Morph,48,2,True,0.5,414.22,True,open,0.4403,0.5672,0.5879,0.2381,0.6541,1.0,0.7849,0.985,0.5859,0.819,59954780
Inf-Net_DP_Morph,48,3,True,0.5,414.22,True,open,0.4436,0.5583,0.5927,0.2305,0.6488,1.0,0.7986,0.9949,0.5927,0.804,59954781
Inf-Net_DP_Morph,48,1,True,0.7,211.07,True,both,0.3675,0.4804,0.5313,0.3036,0.6401,1.0,0.7058,0.9894,0.5105,0.7779,59954800
Inf-Net_DP_Morph,48,2,True,0.7,211.07,True,both,0.4325,0.5419,0.5872,0.2404,0.6523,1.0,0.7864,0.9982,0.5876,0.789,59954801
Inf-Net_DP_Morph,48,3,True,0.7,211.07,True,both,0.4173,0.5374,0.5752,0.2634,0.6683,1.0,0.7559,0.9988,0.5581,0.8022,59954802
Inf-Net_DP_Morph,48,1,True,0.7,211.07,True,close,0.4262,0.5433,0.5717,0.2674,0.6791,1.0,0.7502,0.9982,0.5617,0.8031,59954797
Inf-Net_DP_Morph,48,2,True,0.7,211.07,True,close,0.3978,0.5291,0.5681,0.2719,0.652,1.0,0.7482,0.9991,0.5367,0.8011,59954798
Inf-Net_DP_Morph,48,3,True,0.7,211.07,True,close,0.3965,0.5177,0.5523,0.2859,0.6605,1.0,0.7286,0.9989,0.5335,0.7875,59954799
Inf-Net_DP_Morph,48,1,True,0.7,211.07,True,dilation,0.4051,0.5237,0.5567,0.2723,0.6379,1.0,0.7505,0.9959,0.5519,0.7884,59954803
